Title,Publisher,Link,DiscountPCT,OriginalPrice,DiscountPrice,Discount_Endtime,Rating,Rating_count,Genre,ReleaseDate
"SWORD ART ONLINE Last Recollection - Deluxe Edition PS4 & PS5 (Simplified Chinese, Korean, Traditional Chinese)",Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-PPSA06957_00-SAOLRDLXEDITION0,35%,HK$669.00,HK$434.85,14/2/2024 03:59 PM UTC,4.14,743,Role Playing Games,4/10/2023
"SWORD ART ONLINE Last Recollection - Ultimate Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-PPSA06957_00-SAOLRULTEDITION0,35%,HK$839.00,HK$545.35,14/2/2024 03:59 PM UTC,4.14,743,Role Playing Games,4/10/2023
"Red Dead Redemption 2 (Simplified Chinese, English, Korean, Traditional Chinese)",Rockstar Games,https://store.playstation.com/en-hk/product/UP1004-CUSA03041_00-REDEMPTIONFULL02,67%,HK$468.00,HK$154.44,14/2/2024 03:59 PM UTC,4.7,224k,"Action, Adventure, Unique",25/10/2018
"Red Dead Redemption (Simplified Chinese, English, Korean, Traditional Chinese)",Rockstar Games,https://store.playstation.com/en-hk/product/UP1004-CUSA36842_00-REDEMPTION000001,20%,HK$398.00,HK$318.40,14/2/2024 03:59 PM UTC,4.76,4.5k,Action,17/8/2023
DARK SOULS™ III (English/Chinese/Korean Ver.),Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-CUSA03434_00-DARKSOULS3000000,50%,HK$479.00,HK$239.50,14/2/2024 03:59 PM UTC,4.77,75k,"Action, Adventure, Role Playing Games",11/4/2016
DARK SOULS™ III - Deluxe Edition (English/Chinese/Korean Ver.),Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-CUSA03434_00-DARKSOULS3DELUXE,50%,HK$659.00,HK$329.50,14/2/2024 03:59 PM UTC,4.77,75k,"Action, Adventure, Role Playing Games",11/4/2016
DARK SOULS™ II: Scholar of the First Sin (English/Chinese/Korean Ver.),Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-CUSA01713_00-DARKSOULS2000003,50%,HK$239.00,HK$119.50,14/2/2024 03:59 PM UTC,4.58,33k,"Adventure, Role Playing Games, Role Playing Games",2/4/2015
DARK SOULS™: REMASTERED (English/Chinese/Korean Ver.),Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-CUSA08526_00-ASIAPLACEHOLDER0,50%,HK$289.00,HK$144.50,14/2/2024 03:59 PM UTC,4.71,25k,"Role Playing Games, Role Playing Games",23/5/2018
"Fate/Samurai Remnant(PS4 & PS5) (Simplified Chinese, Korean, Traditional Chinese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA07423_00-GAME000000000000,30%,HK$528.00,HK$369.60,14/2/2024 03:59 PM UTC,4.61,1.5k,"Action, Role Playing Games",27/9/2023
Fate/Samurai Remnant(PS4 & PS5) (English),KOEI TECMO America,https://store.playstation.com/en-hk/product/UP4108-PPSA07421_00-GAME000000000000,30%,HK$528.00,HK$369.60,14/2/2024 03:59 PM UTC,4.61,1.5k,"Action, Role Playing Games",28/9/2023
Atelier Ryza 3: Alchemist of the End & the Secret Key (PS4 & PS5) (English),KOEI TECMO America,https://store.playstation.com/en-hk/product/UP4108-PPSA08520_00-RYZA300000MASTER,30%,HK$528.00,HK$369.60,14/2/2024 03:59 PM UTC,4.67,544,Role Playing Games,23/3/2023
"Atelier Ryza 3: Alchemist of the End & the Secret Key (PS4 & PS5) (Simplified Chinese, Korean, Traditional Chinese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA08523_00-RYZA300000MASTER,30%,HK$528.00,HK$369.60,14/2/2024 03:59 PM UTC,4.67,544,Role Playing Games,22/3/2023
"Atelier Ryza 3: Alchemist of the End & the Secret Key Digital Deluxe Edition (PS4 & PS5) (Simplified Chinese, Korean, Traditional Chinese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA08523_00-MYSTERIOUSDDX000,30%,HK$616.00,HK$431.20,14/2/2024 03:59 PM UTC,4.67,544,Role Playing Games,22/3/2023
Atelier Ryza 3: Alchemist of the End & the Secret Key Digital Deluxe Edition (PS4 & PS5) (English),KOEI TECMO America,https://store.playstation.com/en-hk/product/UP4108-PPSA08520_00-MYSTERIOUSDDX000,30%,HK$616.00,HK$431.20,14/2/2024 03:59 PM UTC,4.67,544,Role Playing Games,23/3/2023
Atelier Ryza 3: Alchemist of the End & the Secret Key Ultimate Edition (PS4 & PS5) (English),KOEI TECMO America,https://store.playstation.com/en-hk/product/UP4108-PPSA08520_00-MYSTERIOUSDDXSP0,30%,HK$968.00,HK$677.60,14/2/2024 03:59 PM UTC,4.67,544,Role Playing Games,23/3/2023
"Atelier Ryza 3: Alchemist of the End & the Secret Key Ultimate Edition (PS4 & PS5) (Simplified Chinese, Korean, Traditional Chinese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA08523_00-MYSTERIOUSDDXSP0,30%,HK$968.00,HK$677.60,14/2/2024 03:59 PM UTC,4.67,544,Role Playing Games,22/3/2023
FINAL FANTASY VII REMAKE (English/Japanese Ver.),"SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/JP0082-CUSA07052_00-FFVIIREMAKE00000,50%,HK$238.00,HK$119.00,14/2/2024 03:59 PM UTC,4.72,106k,Role Playing Games,9/4/2020
"FINAL FANTASY VII REMAKE (Simplified Chinese, Korean, Traditional Chinese)","SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/HP0082-CUSA16170_00-ASIAFULLGAME0000,50%,HK$238.00,HK$119.00,14/2/2024 03:59 PM UTC,4.72,106k,Role Playing Games,9/4/2020
"FINAL FANTASY VII REMAKE Digital Deluxe Edition (Simplified Chinese, Korean, Traditional Chinese)","SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/HP0082-CUSA16170_00-ASIADD0000000000,43%,HK$408.00,HK$232.56,14/2/2024 03:59 PM UTC,4.72,106k,Role Playing Games,9/4/2020
FINAL FANTASY VII REMAKE Digital Deluxe Edition (English/Japanese Ver.),"SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/JP0082-CUSA07052_00-FFVIIREMAKEDX000,43%,HK$408.00,HK$232.56,14/2/2024 03:59 PM UTC,4.72,106k,Role Playing Games,9/4/2020
"FINAL FANTASY VII REMAKE INTERGRADE (Chinese/Korean Version) (Simplified Chinese, Korean, Traditional Chinese)","SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/HP0082-PPSA01773_00-5827003902180177,60%,HK$308.00,HK$123.20,14/2/2024 03:59 PM UTC,4.72,106k,Role Playing Games,9/6/2021
"FINAL FANTASY VII REMAKE INTERGRADE (Japanese/English Version) (English, Japanese)","SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/JP0082-PPSA01637_00-5827003902180177,60%,HK$308.00,HK$123.20,14/2/2024 03:59 PM UTC,4.72,106k,Role Playing Games,9/6/2021
"FINAL FANTASY VII REMAKE INTERGRADE Digital Deluxe Edition (Japanese/English Version) (English, Japanese)","SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/JP0082-PPSA01637_00-0291763878924857,43%,HK$438.00,HK$249.66,14/2/2024 03:59 PM UTC,4.72,106k,Role Playing Games,9/6/2021
"FINAL FANTASY VII REMAKE INTERGRADE Digital Deluxe Edition (Chinese/Korean Version) (Simplified Chinese, Korean, Traditional Chinese)","SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/HP0082-PPSA01773_00-0291763878924857,43%,HK$438.00,HK$249.66,14/2/2024 03:59 PM UTC,4.72,106k,Role Playing Games,9/6/2021
