,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit
107,まぶた,まぶた,https://open.spotify.com/album/787EPgEJvHIXQ5MFDqG0oP,Vaundy,65,2023-01-10,https://open.spotify.com/track/6YCwX5jlAEFL775YJqgLqN,256303,False
108,愛してみてよ減るもんじゃないし,愛してみてよ減るもんじゃないし,https://open.spotify.com/album/19I3Qy0znrTCbXxoJLGOGH,neguse.,64,2023-04-12,https://open.spotify.com/track/4sCiH4LCVfHsMUmiK6GNGS,198806,False
109,ウタカタララバイ,ウタの歌 ONE PIECE FILM RED,https://open.spotify.com/album/5WStsinR0ZOQRoCI6rQPZA,Ado,64,2022-08-09,https://open.spotify.com/track/3IhHrBYZaxySuRu1zI7Vuk,173373,False
110,おもかげ -self cover-,裸の勇者,https://open.spotify.com/album/1tLmGtOgNhMFgPR5bQpigb,Vaundy,64,2022-02-21,https://open.spotify.com/track/6uqewERWZ1vzfCcin1zFIp,209920,False
111,好きだ,好きだ,https://open.spotify.com/album/1IOv9TZ1IarsEQ6RB7HEe0,YOASOBI,67,2022-05-30,https://open.spotify.com/track/7537JfhvVpEqkrY2CIY7zu,217512,False
112,椿,椿,https://open.spotify.com/album/21K9crxMcJ2oKbvHVOopnr,TORAUMA,63,2020-07-10,https://open.spotify.com/track/09ejq9irl5FsaFWzh0oK5R,327446,True
113,しわあわせ,しわあわせ,https://open.spotify.com/album/0SoKJtlMONWEI19IZ2QAzr,Vaundy,64,2021-04-11,https://open.spotify.com/track/2F1Zfnh89pO7urUL7KoVfn,278250,False
114,fake face dance music,fake face dance music,https://open.spotify.com/album/1oSTnI41dwQQbO2GaYEL4I,音田 雅則,65,2023-07-11,https://open.spotify.com/track/4ayU74yaWEgHHpaf1WJ313,151015,False
115,新時代 - ウタ from ONE PIECE FILM RED,新時代 (ウタ from ONE PIECE FILM RED),https://open.spotify.com/album/7r72omJJLTajYYn9vImIcb,Ado,69,2022-06-08,https://open.spotify.com/track/2l2yRJWgMiJkfPbRNiuC25,228214,False
116,まつり,LOVE ALL SERVE ALL,https://open.spotify.com/album/6VJwkUQXD3DnqqUUaxqDzH,Fujii Kaze,64,2022-03-23,https://open.spotify.com/track/3OdkC5pG8vc26S26qHyBo8,225920,False
117,また逢う日まで,Slow & Easy,https://open.spotify.com/album/0LLMweYMQL9FSdHortnpx8,HIRAIDAI,63,2015-05-06,https://open.spotify.com/track/3awymLmIrvn9lkJeFpmRSf,255026,False
118,Longiness,Longiness,https://open.spotify.com/album/07w0hA3SRaQ1t9tETYMiSQ,SugLawd Familiar,63,2020-10-21,https://open.spotify.com/track/6xf2KSaajcQyIUNESVYhzO,187741,False
119,おかえり,Memories,https://open.spotify.com/album/4tp4dyeVhcG7kM2jUi3Yj5,Tani Yuuki,64,2021-12-08,https://open.spotify.com/track/7GoPAWftpQzN8euEs2mgM6,225828,False
