,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link
57,Kwon Jin Ah,45,119545,https://open.spotify.com/artist/0kRAVpQhUUArA8UnYwEdeZ,"['k-indie', 'korean pop']",Something's Wrong,Something's Wrong,56,2020-04-01,243880,False,https://open.spotify.com/album/5TbAZIZKLCNNM0F7rXWqb1,https://open.spotify.com/track/3ctGT9T08w6VnpND1zhPTW
58,Dok2,44,122505,https://open.spotify.com/artist/0rW6fVd3yuW2CF2sLYWQtE,"['k-rap', 'korean old school hip hop']",Grrr - Spotify Singles,Spotify Singles,52,2023-03-17,236866,False,https://open.spotify.com/album/2XAl1NxzmOcAgtXNwYjqWn,https://open.spotify.com/track/2UrBX2cG7ZSnN2SbgspmtK
59,Ha Hyun Sang,44,70493,https://open.spotify.com/artist/1jK4qH2wAXqF8v64zvaGRb,"['korean ost', 'korean superband']",3108,3108,50,2020-11-10,178266,False,https://open.spotify.com/album/4km6abn4iGxsbDnxuvFMrw,https://open.spotify.com/track/4Pty5kAaFSjQk2a5cLLpqK
60,MAKTUB,38,75153,https://open.spotify.com/artist/0frNU3rG4ltOP4GNBA1g4j,['korean pop'],To You My Light (feat. Lee Raon),Red Moon: To You My Light,54,2019-06-09,265586,False,https://open.spotify.com/album/1pqAIHe422sy6zGwJhvcqO,https://open.spotify.com/track/5kPpA4aMFeAQnahSnTIOi4
61,Hoody,52,379189,https://open.spotify.com/artist/7lXgbtBDcCRbfc5f8FhGUL,['korean r&b'],Adios,Departure,55,2019-10-29,200568,False,https://open.spotify.com/album/5sr4L6QMoNr4BDWfTDuUOa,https://open.spotify.com/track/3T4s8KFP2SGW7hfmbcICsv
62,Simon Dominic,48,454127,https://open.spotify.com/artist/57W9ikVc6O2wLDtmclSjvN,"['k-pop', 'k-rap', 'korean r&b']",Simon Dominic,₩ & ONLY,50,2015-08-21,223087,False,https://open.spotify.com/album/1gH9rdHenF2tgGr5Q1EjNW,https://open.spotify.com/track/2kbTe9JWzLAXa4MCp1FVNz
63,Jukjae,43,85766,https://open.spotify.com/artist/7bWYN0sHvyH7yv1uefX07U,['korean pop'],Fall In Love,"Nevertheless, (Original Television Soundtrack, Pt. 7)",52,2021-07-31,239893,False,https://open.spotify.com/album/4xi27YjXGPBNbrONMJBnfm,https://open.spotify.com/track/13jOUAJE5tHgidRLrmSpO5
64,Nerd Connection,38,30771,https://open.spotify.com/artist/5WKUZJPvN1SScyggtPFShK,"['k-indie', 'korean indie rock']",Good Night Good Dream,Good Night Good Dream,55,2020-03-23,265983,False,https://open.spotify.com/album/4lFbDrujNnh4oFGBHIGYiv,https://open.spotify.com/track/423WHvB4mKprM6hELzpH3F
65,Huh,41,41628,https://open.spotify.com/artist/30AghIfoMJrMo1YqoUkEMM,"['k-rap', 'korean underground rap']",MY WAY (Prod. R.Tee),SHOW ME THE MONEY 11 Episode 1,53,2022-12-03,377371,False,https://open.spotify.com/album/4Jghep0PatLW7okdHbZBfy,https://open.spotify.com/track/3XfngyuVjltVRHSsLjrCRO
66,Choi Yuree,43,19260,https://open.spotify.com/artist/6qvVoPGEqNCyYSjYCgfV1v,"['k-pop ballad', 'korean singer-songwriter']",Wish,"Hometown Cha-Cha-Cha, Pt. 4 (Original Television Soundtrack)",57,2021-09-25,237426,False,https://open.spotify.com/album/0I9P3bt2K8NAB97yh7uBPf,https://open.spotify.com/track/12n9WBfLII5EdQFzQiQFqv
67,PSY,61,1651872,https://open.spotify.com/artist/2dd5mrQZvg6SmahdgVKDzh,"['k-rap', 'korean old school hip hop']",That That (prod. & feat. SUGA of BTS),PSY 9th,78,2022-04-29,174646,False,https://open.spotify.com/album/7hbSWdxliNs551GXtflIZB,https://open.spotify.com/track/7GNRUsU3M4XNDDB9xle5Dz
68,SOLE,48,108498,https://open.spotify.com/artist/6naXFodImN2DwRmKCQHAUt,['korean r&b'],Slow,Slow,54,2018-07-13,241676,False,https://open.spotify.com/album/2RhEisiqycAq2YrXJcUL4r,https://open.spotify.com/track/3bHE2Q0boauLBF8iJLUIga
69,Roy Kim,45,252694,https://open.spotify.com/artist/3ErHVJMsxTq2lLSmnONBm9,['korean pop'],Only Then,Only Then,57,2018-02-12,248835,False,https://open.spotify.com/album/4erAMXv1Uin2wnf1vW4Eqq,https://open.spotify.com/track/7mFigNlS2dsKMhcmJyfpeg
70,Park Hyo Shin,40,160390,https://open.spotify.com/artist/57htMBtzpppc1yoXgjbslj,['korean pop'],Wild Flower,I am A Dreamer,50,2016-10-03,314254,False,https://open.spotify.com/album/6ceHoTiPm8m5gera0XdBOW,https://open.spotify.com/track/5wQgwLigxPtDwDMMFCu2tV
71,Jung Seung Hwan,52,239903,https://open.spotify.com/artist/7l8rOFwZFQ3G0sgZ7gjGng,['korean pop'],Day & Night,START-UP (Original Television Soundtrack) Pt. 2,65,2020-10-18,260600,False,https://open.spotify.com/album/2syAapNLqkGguLZr8PZubk,https://open.spotify.com/track/0JlYPewyE0Cs5rkUCsWqgy
72,wave to earth,68,524359,https://open.spotify.com/artist/5069JTmv5ZDyPeZaCCXiCg,"['bedroom r&b', 'korean city pop']",seasons,summer flows 0.02,81,2020-08-04,256000,False,https://open.spotify.com/album/4R3ERcDOQP7o1Lkok2uO7E,https://open.spotify.com/track/1acVBP8BcK6LTeNeFjfxnh
73,Hwa Sa,59,4196257,https://open.spotify.com/artist/7bmYpVgQub656uNTu6qGNQ,"['k-pop', 'korean talent show']",Physical (feat. Hwa Sa),Physical (Remixes),47,2020-03-25,193696,False,https://open.spotify.com/album/7jZt48FNrqTEO8SFaZHwl7,https://open.spotify.com/track/55YftXJ01Oa2Z4VsPNnJfL
74,Silica Gel,34,25152,https://open.spotify.com/artist/2kxVxKOgoefmgkwoHipHsn,"['k-indie', 'korean indie rock']",NO PAIN,NO PAIN,46,2022-08-25,219414,False,https://open.spotify.com/album/0PU7zuIyFTemauVmePGD95,https://open.spotify.com/track/01d3IKaDzqxP50zPZnAkT9
75,BUZZ,36,65210,https://open.spotify.com/artist/4SdXXEHKFa5NSoh10QxeN2,"['classic k-pop', 'korean pop']",가시,Buzz Effect,49,2005-03-03,241506,False,https://open.spotify.com/album/5x4zrXuHdIusSB0umnih8n,https://open.spotify.com/track/7csMuPqdOPaFKby0AoRYL5
76,Sam Kim,56,430811,https://open.spotify.com/artist/4BBN286rBKyCWsSPq2cxYO,"['k-pop', 'korean r&b']",Love Me Like That,"Nevertheless, (Original Television Soundtrack, Pt. 6)",71,2021-07-24,211363,False,https://open.spotify.com/album/4MLxdCgljBck6ddj3BKFTi,https://open.spotify.com/track/1lhm29o3syw122xynSKaAK
77,Yoon Do Hyun,36,36671,https://open.spotify.com/artist/6KsmQPHXE3qhzNNBPSZ0eB,"['korean pop', 'korean singer-songwriter']",I Guess I Loved You,Difference,51,2005,238880,False,https://open.spotify.com/album/36HKeRjDoczel62iwy3z75,https://open.spotify.com/track/1w2hClDL1xH4FPZIipZ1FJ
78,Chillin Homie,38,15169,https://open.spotify.com/artist/5f48MQLr5eOXHcR4lFE1BM,"['k-rap', 'korean drill', 'korean trap']",We Higher (Prod. GroovyRoom),SHOW ME THE MONEY 11 Episode 1,51,2022-12-03,322173,False,https://open.spotify.com/album/4Jghep0PatLW7okdHbZBfy,https://open.spotify.com/track/6tgVI8jFmgbCUhxxyCt2yD
79,THAMA,43,42128,https://open.spotify.com/artist/1Ktiv08TbBy195pQUH8Qld,['korean r&b'],Kiss The Rain,"Tale of the Nine Tailed 1938, Pt. 3 (Original Television Soundtrack)",48,2023-05-21,152963,False,https://open.spotify.com/album/5PYf2CJFr5WIatS4GQ2kmd,https://open.spotify.com/track/00ZvMUjMundVCBeCGqhSf7
80,JUNNY,57,296862,https://open.spotify.com/artist/0lgENJQUkqkDbpsTYEayOr,['korean r&b'],INVITATION (Feat. Gaeko),INVITATION (Feat. Gaeko),73,2023-07-06,191359,False,https://open.spotify.com/album/4WxRKPVsrzIaQ7ExLMvJ1u,https://open.spotify.com/track/3ISOK4T54v6O1g1AB8FiEK
81,Don Malik,38,33613,https://open.spotify.com/artist/1DKIdDHKHi3rIwG4UB5zLE,"['k-rap', 'korean underground rap']",MY WAY (Prod. R.Tee),SHOW ME THE MONEY 11 Episode 1,53,2022-12-03,377371,False,https://open.spotify.com/album/4Jghep0PatLW7okdHbZBfy,https://open.spotify.com/track/3XfngyuVjltVRHSsLjrCRO
82,Kim Dong Ryul,36,96701,https://open.spotify.com/artist/3zYyfrb4r6ZHI5Di0rB9bV,"['korean pop', 'korean singer-songwriter']",다시 사랑한다 말할까,기억속의 멜로디,42,2012-09-05,287741,False,https://open.spotify.com/album/3bQEUGF2WB3YyIucl9rGKi,https://open.spotify.com/track/52p5RtEaTXx1u1udrx8Fqr
83,Jeon Sang Keun,35,36354,https://open.spotify.com/artist/3uCDicSmenMBtsKb5A51dd,"['k-pop ballad', 'korean ost', 'korean pop']",Why break up? (My love X Jeon Sang Keun),Why break up? (My love X Jeon Sang Keun),40,2023-06-06,271280,False,https://open.spotify.com/album/3fKPvx8jP5KFx7nTatm88K,https://open.spotify.com/track/668e9vwoz1MhnFai3fNvHF
84,Kim Kwang Seok,34,84260,https://open.spotify.com/artist/0Sr5L3iWPn0k6KnDr8RYS8,"['classic korean pop', 'korean pop', 'korean singer-songwriter']",너무 아픈 사랑은 사랑이 아니었음을,김광석 4집 리마스터링앨범,42,2014-11-12,379013,False,https://open.spotify.com/album/1Yk9jrcx4JQpSmyqpvakvV,https://open.spotify.com/track/42cwRiFR25LYJG6CCsjWo9
85,Cosmic Boy,43,55905,https://open.spotify.com/artist/305pg6Bs6Mz9Tm2zK66psY,['korean r&b'],"Can I Love ? (feat. youra, Meego)",Can I Love ?,58,2019-02-18,229750,False,https://open.spotify.com/album/3RMvO654eEqnwdmZCwHFs5,https://open.spotify.com/track/4T2cOfemKB0owJS2JOu7dF
86,Sunwoojunga,46,99003,https://open.spotify.com/artist/04L3elxyr0XFua2Ek3domW,"['k-indie', 'korean pop']",Silence,"See You in My 19th Life, Pt. 1 (Original Television Soundtrack)",60,2023-06-18,208953,False,https://open.spotify.com/album/2FpX66kv5OmYPcW1z096xX,https://open.spotify.com/track/4jo1vWSksZ88INZrc3EEhz
87,oygli,32,1034,https://open.spotify.com/artist/1xOiGoYkm1zgqwXLsvQA90,['korean underground rap'],1 to 8,1 to 8,27,2020-11-23,108000,False,https://open.spotify.com/album/7pE7aKvfxaTVq0YOs4YUuk,https://open.spotify.com/track/1cx4yIzwEYJETyVIV5eE9Y
