,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link
38,Uru,60,747852,https://open.spotify.com/artist/6le80R1opKnTlP4o3KvA2k,"['j-pop', 'japanese singer-songwriter']",心得,心得,69,2023-05-01,219309,False,https://open.spotify.com/album/6vVdLDovF993mCA4dBayHz,https://open.spotify.com/track/2hPBIYQeqpbQWSMAM9ln1w
39,BUMP OF CHICKEN,60,1062148,https://open.spotify.com/artist/0hSFeqPehe7FtCNWuQ6Bsy,"['j-pop', 'j-rock']",SOUVENIR,SOUVENIR,70,2022-09-29,264126,False,https://open.spotify.com/album/62Rk2K7V2le9NBC75ANiX7,https://open.spotify.com/track/7qOsSOpiL3R8RKyiBtIYNQ
40,Novelbright,58,464661,https://open.spotify.com/artist/0jWCX6zp4RjWrmZRxJ2uri,"['j-pop', 'j-rock']",愛とか恋とか,Assort,74,2022-05-16,232453,False,https://open.spotify.com/album/12cXi1i1cgTVe27Rb122kZ,https://open.spotify.com/track/1VHL1PIkhDwWbFc65xHwOr
41,GReeeeN,58,2203930,https://open.spotify.com/artist/14T8NkbwXVZgbOvwnuGV89,"['j-pop', 'j-pop boy group']",キセキ,あっ、ども。おひさしぶりです。,64,2008-01-01,271160,False,https://open.spotify.com/album/7wWqz8nDIHhHdyM7ObDDix,https://open.spotify.com/track/7ztdl6cnbJgHRdMkKldkts
42,Creepy Nuts,59,616087,https://open.spotify.com/artist/0pWR7TsFhvSCnbmHDjWgrE,"['j-pop', 'j-rock']",ばかまじめ,アンサンブル・プレイ,66,2022-09-07,172026,False,https://open.spotify.com/album/0umDAVn3Zr250pR0NA9FFI,https://open.spotify.com/track/7FiTlLKW0Knj8rm7lMa9N7
43,SUPER BEAVER,58,362438,https://open.spotify.com/artist/0SMhG4gXGD4gzLMMz08cQU,"['anime', 'j-pop', 'j-poprock', 'j-rock']",儚くない,儚くない,66,2023-06-17,310560,False,https://open.spotify.com/album/5EEjxpKogAFBEgzf8Kjlv2,https://open.spotify.com/track/4oGe0AT9wDhwHfDTifSw0e
44,yama,62,963755,https://open.spotify.com/artist/7kOrrFIBIBc8uCu2zbxbLv,"['j-pop', 'japanese teen pop']",色彩,色彩,73,2022-10-02,192175,False,https://open.spotify.com/album/3gQJWupAma6DdzcHVBQ9Bn,https://open.spotify.com/track/1uveEvgKX4irLcp1BUTIFD
45,MY FIRST STORY,60,489825,https://open.spotify.com/artist/6cutt8thPFUICMfxaYerWd,"['j-pop', 'j-rock', 'japanese post-hardcore']",I'm a mess,X,71,2022-08-24,251333,False,https://open.spotify.com/album/16Bd2ZNChy3Emmy1Vmdo0e,https://open.spotify.com/track/5m21ZR5lO6U0tp9KENxuCc
46,aiko,57,602231,https://open.spotify.com/artist/6TDMbiQCWeMClsMr9ORLRK,"['j-pop', 'j-rock']",Hanabi,Sakura no Ki no Shita,41,2016,278973,False,https://open.spotify.com/album/0V7yGZFnkvdhnTN16bH3Pf,https://open.spotify.com/track/0vrjT7RqBiBJeEJdkXlEy0
47,Gen Hoshino,59,1702458,https://open.spotify.com/artist/1S2S00lgLYLGHWA44qGEUs,"['j-acoustic', 'j-pop', 'japanese singer-songwriter']",Comedy,Comedy,71,2022-04-08,230666,False,https://open.spotify.com/album/41ERrwfzos93Xlf6hFBiDn,https://open.spotify.com/track/5SuOikwiRyPMVoIQDJUgSV
48,WANIMA,56,1256503,https://open.spotify.com/artist/6YqdtpUutxodni6lUD4stM,"['j-pop', 'j-punk', 'j-rock', 'japanese pop punk', 'japanese punk rock']",ともに,Everybody!!,66,2018-01-17,207368,False,https://open.spotify.com/album/1spFHTdEd1oA8htGJxeIac,https://open.spotify.com/track/6FHgHDXiGnRfhrSok9xAz3
49,Kana Nishino,57,1510771,https://open.spotify.com/artist/4DDoAL8n6ob19r3jOZEbJI,['j-pop'],トリセツ,Love Collection 2 Pink,44,2013,259013,False,https://open.spotify.com/album/30z9Q8BeTXVng6qtTVPW6n,https://open.spotify.com/track/7vVfV8GJ9vdzDnzWCWmIBp
50,NiziU,57,1005843,https://open.spotify.com/artist/3z8diLlUCkN1j9N9ZdnfBJ,['j-pop'],Paradise,COCONUT,54,2023-07-05,209773,False,https://open.spotify.com/album/7pMBT70d3wGM0VZfLcQ6f3,https://open.spotify.com/track/3DvO6eGrWKvlQ816bXhcHs
